"","year","FAR","source"
"237",2043,1,"IPSL.CM5A.LR"
"238",2044,1,"IPSL.CM5A.LR"
"239",2045,1,"IPSL.CM5A.LR"
"240",2046,1,"IPSL.CM5A.LR"
"241",1987,0.697674418604651,"MRI.CGCM3"
"242",1988,0.69047619047619,"MRI.CGCM3"
"243",1989,0.775,"MRI.CGCM3"
"244",1990,0.789473684210526,"MRI.CGCM3"
"245",1991,0.666666666666667,"MRI.CGCM3"
"246",1992,0.682926829268293,"MRI.CGCM3"
"247",1993,0.537037037037037,"MRI.CGCM3"
"248",1994,0.172413793103448,"MRI.CGCM3"
"249",1995,0.588235294117647,"MRI.CGCM3"
"250",1996,0.321428571428572,"MRI.CGCM3"
"251",1997,0.0338983050847458,"MRI.CGCM3"
"252",1998,0.882352941176471,"MRI.CGCM3"
"253",1999,0.653061224489796,"MRI.CGCM3"
"254",2000,0.783783783783784,"MRI.CGCM3"
"255",2001,0.584905660377359,"MRI.CGCM3"
"256",2002,0.777777777777778,"MRI.CGCM3"
"257",2003,0.58,"MRI.CGCM3"
"258",2004,0.245614035087719,"MRI.CGCM3"
"259",2005,0.903225806451613,"MRI.CGCM3"
"260",2006,0.704545454545455,"MRI.CGCM3"
"261",2007,1,"MRI.CGCM3"
"262",2008,0.90625,"MRI.CGCM3"
"263",2009,0.962962962962963,"MRI.CGCM3"
"264",2010,0.769230769230769,"MRI.CGCM3"
"265",2011,0.381818181818182,"MRI.CGCM3"
"266",2012,0.0333333333333333,"MRI.CGCM3"
"267",2013,0.596153846153846,"MRI.CGCM3"
"268",2014,0.702127659574468,"MRI.CGCM3"
"269",2015,0.711111111111111,"MRI.CGCM3"
"270",2016,0.878787878787879,"MRI.CGCM3"
"271",2017,0.96,"MRI.CGCM3"
"272",2018,0.717391304347826,"MRI.CGCM3"
"273",2019,1,"MRI.CGCM3"
"274",2020,1,"MRI.CGCM3"
"275",2021,0.964285714285714,"MRI.CGCM3"
"276",2022,0.961538461538462,"MRI.CGCM3"
"277",2023,0.933333333333333,"MRI.CGCM3"
"278",2024,1,"MRI.CGCM3"
"279",2025,0.828571428571429,"MRI.CGCM3"
"280",2026,1,"MRI.CGCM3"
"281",2027,1,"MRI.CGCM3"
"282",2028,1,"MRI.CGCM3"
"283",2029,1,"MRI.CGCM3"
"284",2030,1,"MRI.CGCM3"
"285",2031,0.958333333333333,"MRI.CGCM3"
"286",2032,1,"MRI.CGCM3"
"287",2033,1,"MRI.CGCM3"
"288",2034,1,"MRI.CGCM3"
"289",2035,1,"MRI.CGCM3"
"290",2036,1,"MRI.CGCM3"
"291",2037,1,"MRI.CGCM3"
"292",2038,1,"MRI.CGCM3"
"293",2039,1,"MRI.CGCM3"
"294",2040,1,"MRI.CGCM3"
"295",2041,1,"MRI.CGCM3"
"296",2042,1,"MRI.CGCM3"
"297",2043,1,"MRI.CGCM3"
"298",2044,1,"MRI.CGCM3"
"299",2045,1,"MRI.CGCM3"
"300",2046,0.96551724137931,"MRI.CGCM3"
