"","model","year","anom","obs.prob","preind.prob","FAR"
"72","GFDL.CM3",1970,-0.454134840295893,0.683333333333333,0.433333333333333,0.365853658536585
"73","GFDL.CM3",1971,-1.81815131579209,1,0.9,0.1
"74","GFDL.CM3",1972,-1.36153361354136,0.95,0.8,0.157894736842105
"75","GFDL.CM3",1973,-1.36362872713516,0.966666666666667,0.8,0.172413793103448
"76","GFDL.CM3",1974,-0.544627364198504,0.733333333333333,0.466666666666667,0.363636363636364
"77","GFDL.CM3",1975,-1.59985645048354,0.983333333333333,0.866666666666667,0.11864406779661
"78","GFDL.CM3",1976,-1.17813042608259,0.916666666666667,0.783333333333333,0.145454545454545
"79","GFDL.CM3",1977,0.00272401733757271,0.45,0.233333333333333,0.481481481481482
"80","GFDL.CM3",1978,-0.217138545703326,0.6,0.316666666666667,0.472222222222222
"81","GFDL.CM3",1979,0.380879030605877,0.266666666666667,0.116666666666667,0.5625
"82","GFDL.CM3",1980,-0.245956162521962,0.616666666666667,0.35,0.432432432432432
"83","GFDL.CM3",1981,0.462447162411669,0.216666666666667,0.1,0.538461538461538
"84","GFDL.CM3",1982,-0.837057019550365,0.833333333333333,0.633333333333333,0.24
"85","GFDL.CM3",1983,0.626917203677137,0.2,0.0833333333333333,0.583333333333333
"86","GFDL.CM3",1984,0.336364000169171,0.3,0.116666666666667,0.611111111111111
"87","GFDL.CM3",1985,-0.589282287374645,0.75,0.5,0.333333333333333
"88","GFDL.CM3",1986,0.333415425091244,0.316666666666667,0.116666666666667,0.631578947368421
"89","GFDL.CM3",1987,0.0758441856779091,0.433333333333333,0.216666666666667,0.5
"90","GFDL.CM3",1988,-0.442483747791814,0.666666666666667,0.416666666666667,0.375
"91","GFDL.CM3",1989,0.0779782039873037,0.416666666666667,0.216666666666667,0.48
"92","GFDL.CM3",1990,-0.0385396897425241,0.483333333333333,0.283333333333333,0.413793103448276
"93","GFDL.CM3",1991,-0.132160999073242,0.5,0.3,0.4
